category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Immune disease,hsa05332,Graft-versus-host disease,1/2,15/7218,0.0666666666666667,240.6,15.4639637893323,0.00415224467121877,0.0304350128020808,0.0112128994533982,3105,1
Human Diseases,Immune disease,hsa05330,Allograft rejection,1/2,17/7218,0.0588235294117647,212.294117647059,14.5197971834106,0.00470522460648948,0.0304350128020808,0.0112128994533982,3105,1
Human Diseases,Immune disease,hsa05320,Autoimmune thyroid disease,1/2,19/7218,0.0526315789473684,189.947368421053,13.7286125826124,0.00525805096821774,0.0304350128020808,0.0112128994533982,3105,1
Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,1/2,22/7218,0.0454545454545455,164.045454545455,12.7502748631067,0.00608700256041617,0.0304350128020808,0.0112128994533982,3105,1
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,1/2,47/7218,0.0212765957446809,76.7872340425532,8.677611708297,0.0129814948103849,0.0410214678755597,0.0151131723752062,216,1
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,1/2,47/7218,0.0212765957446809,76.7872340425532,8.677611708297,0.0129814948103849,0.0410214678755597,0.0151131723752062,3105,1
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,1/2,52/7218,0.0192307692307692,69.4038461538462,8.24117012804468,0.0143575137564459,0.0410214678755597,0.0151131723752062,3105,1
