ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0043062,extracellular structure organization,232,-0.394380140938592,-1.55504594734744,0.000321484917335316,0.0428380719400275,0.0374418235618705,3373,"tags=33%, list=19%, signal=27%",ENSG00000137573/ENSG00000132561/ENSG00000102996/ENSG00000114270/ENSG00000137845/ENSG00000157227/ENSG00000084636/ENSG00000154734/ENSG00000122884/ENSG00000169436/ENSG00000106624/ENSG00000066056/ENSG00000232280/ENSG00000069702/ENSG00000046653/ENSG00000050767/ENSG00000215018/ENSG00000142303/ENSG00000196712/ENSG00000135862/ENSG00000156103/ENSG00000004866/ENSG00000060718/ENSG00000145536/ENSG00000111863/ENSG00000137332/ENSG00000147485/ENSG00000122861/ENSG00000188153/ENSG00000196739/ENSG00000170275/ENSG00000165240/ENSG00000152952/ENSG00000136999/ENSG00000166670/ENSG00000156140/ENSG00000196569/ENSG00000129038/ENSG00000102760/ENSG00000142192/ENSG00000138738/ENSG00000091136/ENSG00000174705/ENSG00000088727/ENSG00000172037/ENSG00000105290/ENSG00000185070/ENSG00000100767/ENSG00000074527/ENSG00000139174/ENSG00000143382/ENSG00000215522/ENSG00000234078/ENSG00000067182/ENSG00000163539/ENSG00000139219/ENSG00000162493/ENSG00000187720/ENSG00000106823/ENSG00000136943/ENSG00000204248/ENSG00000230930/ENSG00000115318/ENSG00000171502/ENSG00000168610/ENSG00000140092/ENSG00000224740/ENSG00000019144/ENSG00000112562/ENSG00000197496/ENSG00000227801/ENSG00000003402/ENSG00000133710/ENSG00000168477/ENSG00000130055/ENSG00000275365/ENSG00000099953,0.49849310876659
GO:0000492,box C/D snoRNP assembly,12,0.662163985771323,1.55455351025287,0.0368130897407048,0.38367696570971,0.335345747468941,1587,"tags=42%, list=9%, signal=38%",ENSG00000100138/ENSG00000117174/ENSG00000183207/ENSG00000083635/ENSG00000151131,0.321775918075361
GO:1903998,regulation of eating behavior,11,-0.694816633330256,-1.55348400710859,0.0241566089933648,0.328437292668702,0.287064534100786,4356,"tags=55%, list=25%, signal=41%",ENSG00000082556/ENSG00000054277/ENSG00000275723/ENSG00000161048/ENSG00000185149/ENSG00000127955,0.352487857583619
GO:0045229,external encapsulating structure organization,232,-0.393893909143483,-1.55312872915117,0.000326319186577195,0.0428380719400275,0.0374418235618705,3373,"tags=33%, list=19%, signal=27%",ENSG00000137573/ENSG00000132561/ENSG00000102996/ENSG00000114270/ENSG00000137845/ENSG00000157227/ENSG00000084636/ENSG00000154734/ENSG00000122884/ENSG00000169436/ENSG00000106624/ENSG00000066056/ENSG00000232280/ENSG00000069702/ENSG00000046653/ENSG00000050767/ENSG00000215018/ENSG00000142303/ENSG00000196712/ENSG00000135862/ENSG00000156103/ENSG00000004866/ENSG00000060718/ENSG00000145536/ENSG00000111863/ENSG00000137332/ENSG00000147485/ENSG00000122861/ENSG00000188153/ENSG00000196739/ENSG00000170275/ENSG00000165240/ENSG00000152952/ENSG00000136999/ENSG00000166670/ENSG00000156140/ENSG00000196569/ENSG00000129038/ENSG00000102760/ENSG00000142192/ENSG00000138738/ENSG00000091136/ENSG00000174705/ENSG00000088727/ENSG00000172037/ENSG00000105290/ENSG00000185070/ENSG00000100767/ENSG00000074527/ENSG00000139174/ENSG00000143382/ENSG00000215522/ENSG00000234078/ENSG00000067182/ENSG00000163539/ENSG00000139219/ENSG00000162493/ENSG00000187720/ENSG00000106823/ENSG00000136943/ENSG00000204248/ENSG00000230930/ENSG00000115318/ENSG00000171502/ENSG00000168610/ENSG00000140092/ENSG00000224740/ENSG00000019144/ENSG00000112562/ENSG00000197496/ENSG00000227801/ENSG00000003402/ENSG00000133710/ENSG00000168477/ENSG00000130055/ENSG00000275365/ENSG00000099953,0.49849310876659
GO:0031114,regulation of microtubule depolymerization,28,-0.552735033302047,-1.55289882669258,0.0237963888308823,0.328437292668702,0.287064534100786,4014,"tags=43%, list=23%, signal=33%",ENSG00000116584/ENSG00000129682/ENSG00000134982/ENSG00000166503/ENSG00000165175/ENSG00000185340/ENSG00000101222/ENSG00000067798/ENSG00000139116/ENSG00000131711/ENSG00000166963/ENSG00000163539,0.352487857583619
GO:0006670,sphingosine metabolic process,23,-0.567016454696244,-1.55210019758555,0.0384134152300139,0.391381142855589,0.342079440847794,2917,"tags=39%, list=16%, signal=33%",ENSG00000196542/ENSG00000262446/ENSG00000177076/ENSG00000204147/ENSG00000063176/ENSG00000165389/ENSG00000078124/ENSG00000138744/ENSG00000177628,0.321775918075361
GO:0046519,sphingoid metabolic process,23,-0.567016454696244,-1.55210019758555,0.0384134152300139,0.391381142855589,0.342079440847794,2917,"tags=39%, list=16%, signal=33%",ENSG00000196542/ENSG00000262446/ENSG00000177076/ENSG00000204147/ENSG00000063176/ENSG00000165389/ENSG00000078124/ENSG00000138744/ENSG00000177628,0.321775918075361
GO:0141156,cAMP/PKA signal transduction,55,-0.48644371635406,-1.55179987047366,0.00986398733616765,0.219167237733359,0.191559065899213,3072,"tags=29%, list=17%, signal=24%",ENSG00000095794/ENSG00000198121/ENSG00000198961/ENSG00000115252/ENSG00000155657/ENSG00000143545/ENSG00000188191/ENSG00000142192/ENSG00000073417/ENSG00000092820/ENSG00000172572/ENSG00000188906/ENSG00000171408/ENSG00000128655/ENSG00000154678/ENSG00000133256,0.380730400722792
GO:0030808,regulation of nucleotide biosynthetic process,21,-0.57647287777719,-1.55153337152838,0.0318696345757533,0.360799349233757,0.315349990404805,1684,"tags=24%, list=9%, signal=22%",ENSG00000158828/ENSG00000063176/ENSG00000048545/ENSG00000168610/ENSG00000185345,0.321775918075361
GO:1900371,regulation of purine nucleotide biosynthetic process,21,-0.57647287777719,-1.55153337152838,0.0318696345757533,0.360799349233757,0.315349990404805,1684,"tags=24%, list=9%, signal=22%",ENSG00000158828/ENSG00000063176/ENSG00000048545/ENSG00000168610/ENSG00000185345,0.321775918075361
GO:0045815,transcription initiation-coupled chromatin remodeling,55,0.471214651267878,1.55092072018814,0.013053486590993,0.247055252351003,0.215934068683337,5223,"tags=51%, list=29%, signal=36%",ENSG00000196363/ENSG00000239306/ENSG00000136504/ENSG00000188976/ENSG00000140632/ENSG00000124092/ENSG00000143258/ENSG00000141510/ENSG00000118058/ENSG00000173113/ENSG00000275837/ENSG00000163159/ENSG00000165097/ENSG00000166164/ENSG00000100823/ENSG00000004487/ENSG00000162961/ENSG00000187605/ENSG00000133895/ENSG00000187531/ENSG00000156802/ENSG00000132471/ENSG00000141858/ENSG00000129691/ENSG00000066117/ENSG00000103510/ENSG00000114166/ENSG00000111732,0.380730400722792
GO:0036506,maintenance of unfolded protein,10,0.683671333277006,1.55014816772536,0.0474282520264828,0.444812274755488,0.388779932319675,345,"tags=20%, list=2%, signal=20%",ENSG00000234651/ENSG00000227761,0.321775918075361
GO:0070207,protein homotrimerization,12,0.660098452255384,1.54970428491482,0.0382154515418011,0.391381142855589,0.342079440847794,3939,"tags=50%, list=22%, signal=39%",ENSG00000147955/ENSG00000168404/ENSG00000127954/ENSG00000105281/ENSG00000110436/ENSG00000125246,0.321775918075361
