Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,4950.55034102846,-0.30928024008055,0.165280270322465,-1.87124718199661,0.061310827756354,0.485010169186591
ENSG00000000005,34.7029066265223,-1.12006975594512,0.651603374671461,-1.7189440685599,0.0856245567914625,0.538318497572466
ENSG00000000419,1448.32159177617,-0.113601891959189,0.156726314231658,-0.724842490657146,0.468548665137677,0.850124930932148
ENSG00000000457,867.077856560029,-0.146994049995486,0.0714896306214337,-2.05615903618077,0.0397671893106878,0.417703363745936
ENSG00000000460,577.174138149514,-0.260534960932012,0.14062910089414,-1.85263902901671,0.06393411443681,0.495442787676504
ENSG00000000971,139.309014035763,-0.704302414538161,0.418546231001339,-1.68273505379124,0.092426392611889,0.553840818353585
ENSG00000001036,823.935885804872,-0.378078064488865,0.224484517359951,-1.68420552533088,0.092141955805204,0.553076254247114
ENSG00000001084,1222.29147689609,0.168169401752256,0.105439884792939,1.59493157719685,0.110727537376859,0.585484583683417
ENSG00000001167,2055.65627660508,0.0232050603497401,0.117241968845642,0.197924519506247,0.843104119862445,0.963780914886544
ENSG00000001460,181.331753240556,-0.1590904671315,0.180801460261387,-0.87991804325862,0.378903709411429,0.812218671436508
ENSG00000001461,854.696323836751,-0.263395620118158,0.247502761979309,-1.06421285165366,0.287232286368322,0.759535713426226
ENSG00000001497,1512.81321322,-0.0538382371301939,0.0924824500864834,-0.582145445755903,0.560468716144414,0.889843922910058
ENSG00000001561,911.362124527051,0.0678713566137421,0.232059209250553,0.292474307884338,0.769924000864986,0.948061281276898
ENSG00000001617,59.3940806322628,0.347971066267277,0.422593184895113,0.823418546973594,0.410270019522506,0.825674827307028
ENSG00000001626,90.8735101147016,-0.145905073944023,0.343312713576915,-0.424991758749228,0.670842682488665,0.921746906182126
ENSG00000001629,4956.79900318187,0.115113300917047,0.104704195805839,1.09941440293865,0.271587351262578,0.746731378813362
ENSG00000001630,11877.2188604967,0.0890497349391809,0.195005970153419,0.456651326465144,0.647921681043611,0.917366323052149
ENSG00000001631,3269.71974953949,-0.129401236109014,0.0899687332354164,-1.43829118689953,0.15035145142412,0.633290438128898
ENSG00000002016,531.662975003509,0.182389505523604,0.12783190568044,1.42679172740763,0.153639936399784,0.635937394216293
ENSG00000002330,151.253182844984,-0.222851298419423,0.246823306092749,-0.902877860065946,0.366590722227592,0.806243784467442
ENSG00000002549,2455.20953704322,0.35199013135729,0.225058353797724,1.56399496138521,0.117818751705881,0.597316536381039
ENSG00000002586,3127.95539354876,0.478477063591401,0.195631000201793,2.445814125051,0.0144525488438694,0.288878307806152
ENSG00000002587,242.920054910693,0.144653069554632,0.337355694747438,0.428785023661529,0.668079678718412,0.921732016989124
ENSG00000002745,28.525298128876,0.0536276218709884,0.523143175473671,0.102510410887865,0.918351549689666,0.981642613345281
ENSG00000002746,786.211558156311,-0.399361253820468,0.333600673539105,-1.19712364361775,0.23125836561705,0.715861437743265
ENSG00000002822,782.30562773923,-0.0220044639914743,0.127359889645147,-0.172773893356721,0.862829158495815,0.969416334148826
ENSG00000002834,2126.47033288428,-0.0755284805127391,0.240640318205517,-0.313864613693847,0.753623867426486,0.943030847894088
ENSG00000002919,228.197943810634,0.0591157082831394,0.129392698487632,0.456870511041935,0.647764120849739,0.917366323052149
ENSG00000002933,43.9412392358735,0.333559266624462,0.389407747024032,0.856580972447567,0.391676505144371,0.81949545496394
ENSG00000003056,2940.14355382721,-0.002480961454157,0.107152326868272,-0.0231535938291566,0.981527755432261,0.996128479713778
ENSG00000003096,1329.24286563198,0.0238137529046638,0.189412584752687,0.125724238100425,0.899950214873311,0.977664320457419
ENSG00000003137,467.627553171871,2.20325327452331,0.675224143163377,3.26299540209156,0.00110241308416104,0.0895698595803503
ENSG00000003147,361.728164899019,0.199438585122262,0.268636559100798,0.742410436575867,0.457838698153993,0.84696455724839
ENSG00000003249,330.637608083966,0.335115743668021,0.318611760258867,1.0517996680215,0.2928914714016,0.764757955552299
ENSG00000003393,2882.13354664634,0.00351879023671189,0.120280648843247,0.0292548325150597,0.976661349900212,0.994252009040431
ENSG00000003400,80.0094577526736,0.293071416562527,0.192222805671484,1.52464436016712,0.127347826573472,0.610693027188772
ENSG00000003402,2998.53396986883,-0.18447468719457,0.211545583484278,-0.87203279858726,0.383190484940738,0.815517485787458
ENSG00000003436,2994.75393430843,-0.274316391108795,0.324266628258887,-0.845959365543427,0.397575412951506,0.822643705484625
ENSG00000003509,948.498634388573,-0.090146705343357,0.0983597709911929,-0.916499748168676,0.359404839477845,0.803272398234326
ENSG00000003756,8868.75937074808,-0.169131318565225,0.103744161072629,-1.63027313360624,0.103043783133899,0.572616132416941
ENSG00000003987,1048.31352382415,0.0887093444538873,0.169269739410432,0.524070898690238,0.600229228525381,0.904586403055382
ENSG00000003989,821.802773877139,0.675636243889499,0.50666828481004,1.33348832785697,0.182371603378204,0.66844120676468
ENSG00000004059,501.973429072363,-0.188017523063069,0.123157853245364,-1.52663852209641,0.126850922438866,0.610340900671718
ENSG00000004139,1570.61035300762,0.0799942551727849,0.150730861662923,0.530709201090318,0.59562030897942,0.90367335931357
ENSG00000004142,1175.11636726646,-0.0358809443419147,0.105149122111754,-0.341238648704835,0.732923930021974,0.938345496901798
ENSG00000004399,344.434027676086,0.466071048456957,0.270766742567762,1.72130093983133,0.0851962290421197,0.537889731102029
ENSG00000004455,2305.8590102472,-0.00369977509382359,0.111153106251679,-0.0332853954206765,0.973447000073231,0.994004672270312
ENSG00000004468,251.359953814869,1.09887139333181,0.417618400448953,2.63128107418278,0.0085063652264105,0.226825179278182
ENSG00000004478,3067.7401979,0.293145820297387,0.122769595192843,2.38777215023738,0.01695084724345,0.306001641626947
ENSG00000004487,10658.1675678208,-0.00305543211532552,0.0913529150012154,-0.0334464654497875,0.97331855630112,0.994004672270312
ENSG00000004534,5400.57559052461,-0.130780653676389,0.106630182273753,-1.22648813767039,0.220015036582493,0.704826385199829
ENSG00000004660,216.631812984174,0.0812555405812856,0.219218119916943,0.370660694526856,0.710890269329442,0.931317607136158
ENSG00000004700,2623.97742356103,0.0371441306929236,0.10286497735667,0.361095988619446,0.718027691860138,0.934015861224406
ENSG00000004766,2180.072784678,-0.052695791828595,0.096458045171815,-0.546307897228594,0.584854308655658,0.900066109747491
ENSG00000004777,85.6944930292898,-0.0257715698530768,0.285618595610876,-0.0902307141380521,0.928103877515492,0.983556458680483
ENSG00000004779,2147.27787899355,0.124766459431371,0.159129413069676,0.784056555130643,0.433006926088823,0.83621850204587
ENSG00000004799,139.238700993721,-1.49961023409884,0.407370699042595,-3.68119316785235,0.000232145039603074,0.0368552922997053
ENSG00000004809,97.251033143309,0.162465689521601,0.236821538790884,0.686025816532928,0.492696828737654,0.860617801791999
ENSG00000004838,101.421769318347,-0.619645772841551,0.294931724993154,-2.10098039760197,0.0356426870343519,0.402486009043552
ENSG00000004846,36.2724955883262,0.737422674530657,0.33021100251703,2.23318626244934,0.0255366638664635,0.354349784353311
ENSG00000004848,137.882268768221,-2.61696481728702,0.672091025653479,-3.89376545348531,9.8700085258097e-05,0.0235437664911815
ENSG00000004864,1682.17552594765,0.215489144841677,0.174398423024841,1.23561406751358,0.216602053126921,0.701989087828224
ENSG00000004866,1255.83325558459,-0.225815135353638,0.124224430099673,-1.81779972886534,0.0690947481076691,0.506803700186717
ENSG00000004897,6132.898912458,-0.0456177179351567,0.0991352084604761,-0.4601565744762,0.645403838429657,0.917363513984236
ENSG00000004939,39.578102674127,0.38620932743838,0.180826030682622,2.13580603401198,0.0326952271074444,0.390966871027396
ENSG00000004948,31.2920552806341,-0.774618797535833,0.377005357918876,-2.05466256981556,0.03991160762013,0.418307113862391
ENSG00000004961,591.937932043727,0.0268246873526343,0.0852962299741944,0.314488546102798,0.753150014394474,0.94275492248544
ENSG00000004975,472.784672397458,-0.128733483307026,0.144864462796917,-0.888647780287538,0.374192403808602,0.808620657986393
ENSG00000005007,1013.09184536879,0.0231935859059389,0.104650008200306,0.221630043846199,0.824601892462598,0.960123445293664
ENSG00000005020,547.279747123971,-0.369449338955434,0.549994473292413,-0.671732820775111,0.501753803055538,0.863610662317423
ENSG00000005022,1705.15526622102,0.126301334322522,0.150326858595288,0.840178099261373,0.400808535939324,0.822874612882281
ENSG00000005059,1108.3712049204,-0.0355450284902273,0.28175552329844,-0.126155569460044,0.899608780728114,0.977664320457419
ENSG00000005075,918.564020610504,-0.134560996462879,0.1647832297256,-0.816593998594107,0.414160485874626,0.827962451049477
ENSG00000005100,1523.26416850435,0.452908635410358,0.163386160872967,2.77201344955094,0.00557107346702011,0.192472598585992
ENSG00000005108,8337.9395255406,-0.212357430388335,0.328092877834643,-0.647247912816206,0.517471506518571,0.870209026301268
ENSG00000005156,3203.29559119087,-0.0482261022101376,0.0840197624434284,-0.573985224519159,0.565977799862945,0.89281711853184
ENSG00000005175,2714.36520521851,0.0641261330640716,0.0954036452427439,0.672156005160074,0.501484385620874,0.863610662317423
ENSG00000005187,170.923042394579,0.24034977411802,0.138482178343865,1.73560076099617,0.0826344513168335,0.53359440518335
ENSG00000005189,222.311924069443,0.0992976053767522,0.142434338304936,0.697146534736357,0.485711094432169,0.857726973114885
ENSG00000005194,1259.02869184491,-0.0637740692144908,0.105592318612876,-0.603965042649554,0.545866883682956,0.88314029429689
ENSG00000005206,367.830912287145,0.210451924971435,0.284578941907111,0.739520371961072,0.459591073985453,0.846989496888674
ENSG00000005238,441.523621717333,0.0185409328232417,0.190148450311743,0.0975076725203095,0.922323241476849,0.98232943768746
ENSG00000005243,18.3088368484924,-0.366597914202054,0.434141259709355,-0.84442081005496,0.398434297694885,0.82268004292688
ENSG00000005249,3412.92200463953,0.251550083774747,0.226946808059617,1.10840987773958,0.267684840900471,0.744344895429779
ENSG00000005302,1257.92128221679,-0.0606144535490633,0.0995001281963232,-0.609189703047068,0.542398704677644,0.881694067729534
ENSG00000005339,2750.5369592167,0.0620639236190009,0.158748726421578,0.390956986037055,0.695829030613068,0.927860434800222
ENSG00000005379,649.45172569392,-0.341167700784651,0.273007047340443,-1.24966627824523,0.211421480708633,0.69778652653483
ENSG00000005421,24.3770062256405,0.138204734745116,0.357365708717543,0.386731942583645,0.698954665895481,0.928910750975094
ENSG00000005436,1668.9362004637,-0.204430511862949,0.136126389839857,-1.50176987800416,0.13315655011558,0.618941775047233
ENSG00000005448,457.307948293406,-0.122778173610501,0.196472828082239,-0.624911723462894,0.532028997523486,0.876595531607067
ENSG00000005469,795.39053357823,-0.384398192192223,0.195479246681177,-1.96643990970136,0.0492478171465861,0.448719796839621
ENSG00000005471,56.0094125426176,0.113941645165819,0.435697984575337,0.261515199058988,0.793695230077517,0.952768869714476
ENSG00000005483,6516.24842897735,-0.174044889853967,0.112232400615506,-1.55075440692232,0.120960550604376,0.601775978336529
ENSG00000005486,469.876970983638,-0.110824184125518,0.225215925019884,-0.49207969692078,0.622663004486268,0.909397899023864
ENSG00000005513,476.166262051784,0.705011372842532,0.40453166116156,1.74278416383574,0.0813713235571753,0.530110240232774
ENSG00000005700,2492.77211985627,-0.0433950049765615,0.082843871700455,-0.523816717951911,0.600406024374209,0.904766703612743
ENSG00000005801,3849.79599196538,-0.0312704133006339,0.0976039405845702,-0.320380643582103,0.74867979705883,0.941795303458434
ENSG00000005810,12063.0526289833,-0.0334133867993862,0.0819841853419249,-0.407558929323158,0.683597522077032,0.924952039543688
ENSG00000005812,3390.1201113908,-0.0336024288305689,0.1173072790691,-0.286447943360576,0.774535058810833,0.948198129424827
ENSG00000005844,25.993676397905,0.285347646174472,0.229529695144273,1.2431840071722,0.213800034664763,0.698736957825623
ENSG00000005882,248.618716889405,-0.0107918616832169,0.190576393767223,-0.0566274839705406,0.954841940625218,0.989572168844918
ENSG00000005884,566.900383678413,0.244147804672275,0.293389290640296,0.83216331495756,0.405316767631443,0.823558346461792
ENSG00000005889,3401.81060313271,-0.357317008105177,0.106836449321533,-3.34452343160342,0.000824240668526747,0.0748088872127251
ENSG00000005893,6727.23901175156,-0.0409111771851611,0.147742212158966,-0.276909196006501,0.781849831218827,0.949983540759975
ENSG00000005961,24.630903491213,-0.0124624231271048,0.320801316198619,-0.0388477930040313,0.969011740264092,0.992721377134873
ENSG00000005981,195.547390143053,0.205768672169476,0.180529841946273,1.13980420051946,0.254367883343946,0.735902899067423
ENSG00000006007,2711.35647915807,-0.0706046999884768,0.152518510212096,-0.462925450099744,0.643417804462729,0.916832105218021
ENSG00000006015,259.988612178078,-0.0604703067925038,0.193678524344551,-0.312219989269063,0.754873341659684,0.943727581897387
