sample,condition
GSM3528727,ASD
GSM3528728,ASD
GSM3528729,ASD
GSM3528730,healthy control
GSM3528731,healthy control
GSM3528732,healthy control
GSM3528733,ASD
GSM3528734,ASD
GSM3528735,ASD
GSM3528736,healthy control
GSM3528737,healthy control
GSM3528738,ASD
GSM3528739,ASD
GSM3528740,ASD
GSM3528741,ASD
GSM3528742,ASD
GSM3528743,ASD
GSM3528744,healthy control
GSM3528745,healthy control
GSM3528746,healthy control
GSM3528747,healthy control
GSM3528748,healthy control
