GeneID,GSM3528727,GSM3528728,GSM3528729,GSM3528730,GSM3528731,GSM3528732,GSM3528733,GSM3528734,GSM3528735,GSM3528736,GSM3528737,GSM3528738,GSM3528739,GSM3528740,GSM3528741,GSM3528742,GSM3528743,GSM3528744,GSM3528745,GSM3528746,GSM3528747,GSM3528748
ENSG00000131059,5,3,2,3,3,4,0,11,0,1,0,11,3,5,22,5,10,5,1,7,4,4
ENSG00000131061,69,56,88,71,47,13,15,24,15,35,19,34,49,120,102,43,53,63,51,92,61,56
ENSG00000131067,616,435,455,493,581,71,102,57,88,92,69,116,185,387,307,193,253,317,198,176,193,264
ENSG00000131068,0,0,1,0,0,0,0,1,0,0,0,1,3,0,14,0,2,0,0,0,2,1
ENSG00000131069,1036,511,828,782,904,228,295,144,147,496,150,349,365,785,556,223,328,692,430,380,389,1005
ENSG00000131080,1516,500,948,2119,922,562,322,188,20,632,380,810,1044,2678,2356,529,1243,2569,1702,1509,494,849
ENSG00000131089,6865,6008,6092,4967,5723,1985,2165,1277,1605,1233,1170,2004,2653,8599,6700,4084,4300,5228,3673,5115,4750,2807
ENSG00000131094,117,66,62,134,43,8,1,4,34,4,5,87,181,580,264,74,20,1431,1364,315,128,1292
ENSG00000131095,141,55,49,35,32,90,10,15,21,196,7,34374,3108,220800,10831,7698,8316,88978,151659,23651,1450,52387
ENSG00000131096,8,4,19,5,3,3,4,3,1,0,0,0,3,1,6,6,4,1,1,4,7,4
ENSG00000131097,5,1,5,2,8,1,0,1,0,2,1,8,3,2,5,1,3,0,4,15,3,3
ENSG00000131100,4817,2571,3607,3881,3370,1905,1486,881,868,2872,1276,1452,1971,3763,3247,1600,1686,2751,2001,2693,1806,2685
ENSG00000131115,3145,2491,2760,2932,2678,1386,646,826,665,1214,686,798,1201,2461,2073,829,1185,1390,865,1525,1314,1244
ENSG00000131116,3589,1397,2359,3459,2118,710,812,539,600,1317,1017,548,1133,1935,1807,848,702,1426,739,967,1171,873
ENSG00000131126,27,103,302,20,12,57,117,94,56,137,72,34,46,122,45,27,68,73,148,142,68,20
ENSG00000131127,4038,3432,3633,3877,2798,3004,1008,1347,1309,2362,1209,1520,1767,2075,2525,1998,1999,1327,1122,2194,1905,1924
ENSG00000131142,1,0,0,2,0,1,0,0,0,0,0,0,0,3,7,5,3,1,0,0,2,1
ENSG00000131143,7501,4597,6371,6900,6104,2576,2105,1465,1346,4389,2214,2931,3944,7137,4810,3272,4691,6320,2955,4672,2161,3519
ENSG00000131148,1134,511,914,950,705,520,259,258,240,674,245,414,629,1244,921,573,758,849,550,620,528,640
