Gene_ID,metafc,metap,Gene_Symbol,Gene_Description
ENSG00000145949,-0.0697717476271227,0.951315838257372,MYLK4,myosin light chain kinase family member 4
ENSG00000145975,-0.0060051168150132,0.997292065113811,FAM217A,family with sequence similarity 217 member A
ENSG00000145979,0.220582131602882,0.159749939090832,TBC1D7,TBC1 domain family member 7
ENSG00000145982,-0.0265205500792046,0.987398279930847,FARS2,"phenylalanyl-tRNA synthetase 2, mitochondrial"
ENSG00000145990,-0.0042137620933981,0.973353334601611,GFOD1,Gfo/Idh/MocA-like oxidoreductase domain containing 1
ENSG00000145996,-0.067218617862726,0.988895181779679,CDKAL1,CDK5 regulatory subunit associated protein 1 like 1
ENSG00000146001,0.205289607142957,0.926962422858001,,
ENSG00000146005,0.180314217060917,0.940537203352941,PSD2,pleckstrin and Sec7 domain containing 2
ENSG00000146006,0.0277184344483319,0.992311254435025,LRRTM2,leucine rich repeat transmembrane neuronal 2
ENSG00000146007,-0.0529078830824493,0.936242168289053,ZMAT2,zinc finger matrin-type 2
ENSG00000146013,-0.155236108627706,,GFRA3,GDNF family receptor alpha 3
ENSG00000146021,-0.0090381835904127,0.847404403096666,KLHL3,kelch like family member 3
ENSG00000146038,-0.616225567853586,0.410983395262549,DCDC2,doublecortin domain containing 2
ENSG00000146039,0.468246278646115,,SLC17A4,solute carrier family 17 member 4
ENSG00000146054,0.0812537936562722,0.979853193719995,TRIM7,tripartite motif containing 7
ENSG00000146063,-0.00789364222540445,0.989563847467189,TRIM41,tripartite motif containing 41
ENSG00000146066,0.125217129135929,0.710330256498568,HIGD2A,HIG1 hypoxia inducible domain family member 2A
ENSG00000146067,-0.00216087440037695,0.956579908837777,FAM193B,family with sequence similarity 193 member B
ENSG00000146070,0.0152101332496375,0.971310884159399,PLA2G7,phospholipase A2 group VII
ENSG00000146072,0.0464507843932565,0.399568631704997,TNFRSF21,TNF receptor superfamily member 21
ENSG00000146083,0.0458904980963925,0.880636133594217,RNF44,ring finger protein 44
ENSG00000146085,-0.0268810611915947,0.991162174851894,MMUT,methylmalonyl-CoA mutase
ENSG00000146090,-0.151776428215724,0.670871294002768,RASGEF1C,RasGEF domain family member 1C
ENSG00000146094,-0.022194526483739,0.97911658081404,DOK3,docking protein 3
ENSG00000146109,-0.0397268145718247,0.975732449541064,ABT1,activator of basal transcription 1
ENSG00000146112,0.0204967838130475,0.628435055242907,PPP1R18,protein phosphatase 1 regulatory subunit 18
ENSG00000146122,-0.14898465215263,0.989888303354606,DAAM2,dishevelled associated activator of morphogenesis 2
ENSG00000146143,0.0294142929496857,0.974070564825898,PRIM2,DNA primase subunit 2
ENSG00000146147,-0.38412567687326,0.903305579996095,MLIP,muscular LMNA interacting protein
ENSG00000146151,-0.23618147651537,0.652086387917538,HMGCLL1,3-hydroxy-3-methylglutaryl-CoA lyase like 1
ENSG00000146166,-0.135630160702281,0.090798004879833,LGSN,"lengsin, lens protein with glutamine synthetase domain"
ENSG00000146192,0.090859901200452,0.968799654444938,FGD2,"FYVE, RhoGEF and PH domain containing 2"
ENSG00000146197,-0.0829425594097565,0.976673571859166,SCUBE3,"signal peptide, CUB domain and EGF like domain containing 3"
ENSG00000146205,0.243115571793488,0.489628098575541,ANO7,anoctamin 7
ENSG00000146215,-0.0274000918187328,,CRIP3,cysteine rich protein 3
ENSG00000146216,-0.112746136926667,0.979633433749552,TTBK1,tau tubulin kinase 1
ENSG00000146221,-0.139875627217673,0.9738861443547,TCTE1,t-complex-associated-testis-expressed 1
ENSG00000146223,0.0676179664249179,0.591322414948136,RPL7L1,ribosomal protein L7 like 1
ENSG00000146232,-0.0430712100795043,0.867991552747421,NFKBIE,NFKB inhibitor epsilon
ENSG00000146233,-0.210412342467493,0.959812109597524,CYP39A1,cytochrome P450 family 39 subfamily A member 1
ENSG00000146242,-0.417743725165277,0.349499454321425,TPBG,trophoblast glycoprotein
ENSG00000146243,0.0274477823508348,0.812505263818587,IRAK1BP1,interleukin 1 receptor associated kinase 1 binding protein 1
ENSG00000146247,-0.0265480013937425,0.868368186741583,PHIP,pleckstrin homology domain interacting protein
ENSG00000146250,-0.162364271353284,0.978949208240836,PRSS35,serine protease 35
ENSG00000146263,0.0116743447826544,0.99597884944886,MMS22L,"MMS22 like, DNA repair protein"
ENSG00000146267,0.1039121531261,0.931177926181691,FAXC,"failed axon connections homolog, metaxin like GST domain containing"
ENSG00000146276,0.265725409768785,0.638945273766127,GABRR1,gamma-aminobutyric acid type A receptor subunit rho1
ENSG00000146278,0.0303088696845262,0.83315623215453,PNRC1,proline rich nuclear receptor coactivator 1
ENSG00000146281,0.0757872112739651,0.915250972115023,PM20D2,peptidase M20 domain containing 2
ENSG00000146282,0.0129202765261865,0.39950859263264,RARS2,"arginyl-tRNA synthetase 2, mitochondrial"
ENSG00000146285,0.0350376976935208,0.996515228108194,SCML4,Scm polycomb group protein like 4
ENSG00000146350,-0.0577472073706947,0.648726129201911,TBC1D32,TBC1 domain family member 32
ENSG00000146352,0.293911895064486,0.915493060591518,CLVS2,clavesin 2
ENSG00000146373,0.00666322325,0.869781259758041,RNF217,ring finger protein 217
ENSG00000146374,-0.51736040983144,0.602499781148213,RSPO3,R-spondin 3
ENSG00000146376,-0.340463256847177,0.572148115198298,ARHGAP18,Rho GTPase activating protein 18
ENSG00000146386,-0.176027216538627,0.785063695582959,ABRACL,ABRA C-terminal like
ENSG00000146409,0.0407010985855625,0.798804566138412,SLC18B1,solute carrier family 18 member B1
