Gene_ID,randomSummary,randomP,randomCi.lb,randomCi.ub,Gene_Symbol,Gene_Description
ENSG00000120509,-0.00571678120487056,0.868068660721936,-0.0731692976514947,0.0617357352417535,PDZD11,PDZ domain containing 11
ENSG00000120519,0.0582619475827943,0.367558659525269,-0.0684686286077814,0.18499252377337,SLC10A7,solute carrier family 10 member 7
ENSG00000120526,0.0823186024805798,0.0111641424621161,0.0187362137777516,0.145900991183408,NUDCD1,NudC domain containing 1
ENSG00000120533,-0.0423603367867228,0.775345419258593,-0.333277166223134,0.248556492649689,ENY2,ENY2 transcription and export complex 2 subunit
ENSG00000120539,-0.0279529941658729,0.612126576025097,-0.136005287108854,0.0800992987771083,MASTL,microtubule associated serine/threonine kinase like
ENSG00000120549,0.0775275632798137,0.360005772145323,-0.0884751166003689,0.243530243159996,KIAA1217,KIAA1217
ENSG00000120594,-0.302441906321722,0.00382076827605767,-0.507370624255879,-0.0975131883875643,PLXDC2,plexin domain containing 2
ENSG00000120616,-0.00514001874904042,0.967249262177569,-0.250503406124741,0.24022336862666,EPC1,enhancer of polycomb homolog 1
ENSG00000120645,0.145821387664709,0.28880916743667,-0.123618168430535,0.415260943759952,IQSEC3,IQ motif and Sec7 domain ArfGEF 3
ENSG00000120647,-0.00188681397930554,0.98844404127042,-0.257213419510067,0.253439791551456,CCDC77,coiled-coil domain containing 77
ENSG00000120656,0.0852569535688931,0.0300658843245704,0.008224446131367,0.162289461006419,TAF12,TATA-box binding protein associated factor 12
ENSG00000120658,-0.0561258440209469,0.44455042393583,-0.200010820658338,0.0877591326164443,ENOX1,ecto-NOX disulfide-thiol exchanger 1
ENSG00000120662,-0.103914603518631,0.00527680287186798,-0.176923839719015,-0.0309053673182475,MTRF1,mitochondrial translation release factor 1
ENSG00000120664,-0.410427956026783,0.1945789574833,-1.03057434526198,0.209718433208413,,
ENSG00000120669,-0.442974637249142,0.0079618416763756,-0.770147891076355,-0.11580138342193,SOHLH2,spermatogenesis and oogenesis specific basic helix-loop-helix 2
ENSG00000120675,-0.24426428199784,0.0642387715652006,-0.502975041735494,0.0144464777398141,DNAJC15,DnaJ heat shock protein family (Hsp40) member C15
ENSG00000120685,0.0562034355202348,0.089762001047179,-0.00872239936736743,0.121129270407837,PROSER1,proline and serine rich 1
ENSG00000120686,-0.0201459908967658,0.839019870069263,-0.214514355905227,0.174222374111695,UFM1,ubiquitin fold modifier 1
ENSG00000120688,0.072783259390141,0.0307692040561087,0.00674177303926735,0.138824745741015,WBP4,WW domain binding protein 4
ENSG00000120690,-0.0185252538692016,0.743409009203786,-0.129445325591735,0.0923948178533321,ELF1,E74 like ETS transcription factor 1
ENSG00000120693,0.00371014146889807,0.973220841183107,-0.212910646523975,0.220330929461772,SMAD9,SMAD family member 9
ENSG00000120694,0.23981584077273,0.000479039508456371,0.105221911955189,0.374409769590271,HSPH1,heat shock protein family H (Hsp110) member 1
ENSG00000120696,-0.0841498315174462,0.140557901344717,-0.196064588315229,0.0277649252803371,KBTBD7,kelch repeat and BTB domain containing 7
ENSG00000120697,-0.0264921356635457,0.57141312168232,-0.11823461265149,0.0652503413243989,ALG5,ALG5 dolichyl-phosphate beta-glucosyltransferase
ENSG00000120699,0.0290251616231628,0.641853209612826,-0.093286465762481,0.151336789008807,EXOSC8,exosome component 8
ENSG00000120705,0.0216126826269312,0.615119446342446,-0.0626391536480641,0.105864518901926,ETF1,eukaryotic translation termination factor 1
ENSG00000120708,-0.541228956550182,0.37907121787927,-1.74720728036289,0.664749367262524,TGFBI,transforming growth factor beta induced
ENSG00000120709,0.0317831010851531,0.343454246135313,-0.0339718271676716,0.0975380293379779,FAM53C,family with sequence similarity 53 member C
ENSG00000120725,-0.157188068113077,0.0233965601477957,-0.293093248119775,-0.0212828881063791,SIL1,SIL1 nucleotide exchange factor
ENSG00000120727,-0.0486553030082071,0.406243441550114,-0.163477771389978,0.0661671653735639,PAIP2,poly(A) binding protein interacting protein 2
ENSG00000120729,,,,,MYOT,myotilin
ENSG00000120733,-0.034263428518702,0.403089724932002,-0.114581347153318,0.0460544901159137,KDM3B,lysine demethylase 3B
ENSG00000120738,-0.0193524646921397,0.915213122765289,-0.375619770980641,0.336914841596361,EGR1,early growth response 1
ENSG00000120742,0.0474703251965561,0.231721834177224,-0.0303266366068306,0.125267286999943,SERP1,stress associated endoplasmic reticulum protein 1
ENSG00000120756,0.0389204696473199,0.527878323556862,-0.0819238071987344,0.159764746493374,PLS1,plastin 1
ENSG00000120784,-0.00251613560611879,0.956960568934413,-0.0938948191893578,0.0888625479771202,ZFP30,ZFP30 zinc finger protein
ENSG00000120798,-0.122115065820255,0.253621921974489,-0.33176988062389,0.0875397489833812,NR2C1,nuclear receptor subfamily 2 group C member 1
ENSG00000120800,0.0925266808772584,0.0596778620809641,-0.00377335472081586,0.188826716475333,UTP20,UTP20 small subunit processome component
ENSG00000120802,0.0975670622450746,0.0344002687252985,0.0071668554044497,0.1879672690857,TMPO,thymopoietin
ENSG00000120805,0.0123335255810252,0.880080269344622,-0.147894968031929,0.172562019193979,ARL1,ADP ribosylation factor like GTPase 1
ENSG00000120820,-0.128426546362293,0.636083198483242,-0.660381060874146,0.403527968149561,GLT8D2,glycosyltransferase 8 domain containing 2
ENSG00000120832,-0.143826341508433,0.405872014069783,-0.482976088847808,0.195323405830942,MTERF2,mitochondrial transcription termination factor 2
ENSG00000120833,0.0321566802944462,0.870141619781972,-0.35337350250931,0.417686863098202,SOCS2,suppressor of cytokine signaling 2
ENSG00000120837,-0.0478279843985689,0.525139163339196,-0.195348759182652,0.099692790385514,NFYB,nuclear transcription factor Y subunit beta
ENSG00000120860,-0.00786081415251298,0.938266449498351,-0.206790879704846,0.19106925139982,WASHC3,WASH complex subunit 3
ENSG00000120868,0.0359594096164496,0.619511729533565,-0.105980407632379,0.177899226865278,APAF1,apoptotic peptidase activating factor 1
ENSG00000120875,-0.235327279237837,0.532929045069297,-0.97502677911289,0.504372220637217,DUSP4,dual specificity phosphatase 4
ENSG00000120885,-0.119513774718624,0.31214087118518,-0.351267426987387,0.112239877550139,CLU,clusterin
ENSG00000120889,0.178478218221608,0.0261947229182603,0.0211405290659428,0.335815907377274,TNFRSF10B,TNF receptor superfamily member 10b
ENSG00000120896,0.107579346234637,0.299454961071592,-0.0956309969606264,0.3107896894299,SORBS3,sorbin and SH3 domain containing 3
ENSG00000120899,-0.0947840266328044,0.253964586939745,-0.257632684491711,0.0680646312261018,PTK2B,protein tyrosine kinase 2 beta
ENSG00000120903,-0.0827451677590711,0.59875330260796,-0.390953728783429,0.225463393265287,CHRNA2,cholinergic receptor nicotinic alpha 2 subunit
ENSG00000120907,0.162756326721189,0.237744684211052,-0.107432556446394,0.432945209888773,ADRA1A,adrenoceptor alpha 1A
ENSG00000120910,-0.00595047270469898,0.916619317414347,-0.117349499039208,0.10544855362981,PPP3CC,protein phosphatase 3 catalytic subunit gamma
ENSG00000120913,0.0541957515781494,0.423527935861006,-0.0785290311027891,0.186920534259088,PDLIM2,PDZ and LIM domain 2
ENSG00000120915,-0.117067838853916,0.1323858594054,-0.269549821652184,0.0354141439443516,EPHX2,epoxide hydrolase 2
ENSG00000120925,-0.0279206753810077,0.552991575128714,-0.120159102533532,0.0643177517715164,RNF170,ring finger protein 170
ENSG00000120942,0.0756065735263317,0.135836561306816,-0.0237488024099612,0.174961949462625,UBIAD1,UbiA prenyltransferase domain containing 1
ENSG00000120948,0.00140762195413749,0.963476684247298,-0.0588417097171861,0.0616569536254611,TARDBP,TAR DNA binding protein
ENSG00000120963,0.0358320499899943,0.299481335313296,-0.0318560409448764,0.103520140924865,ZNF706,zinc finger protein 706
ENSG00000120992,0.161067428152899,0.385017264725113,-0.202338073290995,0.524472929596793,LYPLA1,lysophospholipase 1
ENSG00000121005,-0.2628040798264,0.00304419293894498,-0.436629542169761,-0.0889786174830381,CRISPLD1,cysteine rich secretory protein LCCL domain containing 1
ENSG00000121022,0.00999188457754638,0.834677013427274,-0.0838417601768993,0.103825529331992,COPS5,COP9 signalosome subunit 5
ENSG00000121039,-0.00307683541840754,0.974314424742338,-0.19037265718993,0.184218986353115,RDH10,retinol dehydrogenase 10
ENSG00000121053,,,,,EPX,eosinophil peroxidase
ENSG00000121057,-0.087309362126865,0.125208695695586,-0.198915871024006,0.024297146770276,AKAP1,A-kinase anchoring protein 1
ENSG00000121058,0.00409899549775449,0.959502772384811,-0.154118208304769,0.162316199300278,COIL,coilin
ENSG00000121060,-0.000433514429680556,0.994725940300117,-0.12897505661457,0.128108027755209,TRIM25,tripartite motif containing 25
ENSG00000121064,-0.486454990806448,0.143834816991164,-1.13875117838199,0.165841196769097,SCPEP1,serine carboxypeptidase 1
ENSG00000121067,-0.0226611334027295,0.703125560595929,-0.139203924417627,0.093881657612168,SPOP,speckle type BTB/POZ protein
ENSG00000121068,,,,,TBX2,T-box transcription factor 2
ENSG00000121073,0.0505421894795806,0.304393615486716,-0.0459089998601437,0.146993378819305,SLC35B1,solute carrier family 35 member B1
ENSG00000121075,,,,,TBX4,T-box transcription factor 4
ENSG00000121101,0.0279611701478708,0.817063716680536,-0.208949282836172,0.264871623131914,TEX14,"testis expressed 14, intercellular bridge forming factor"
ENSG00000121104,-0.0442029173990735,0.551546058937921,-0.189701036242426,0.101295201444279,FAM117A,family with sequence similarity 117 member A
ENSG00000121152,0.0196259723244595,0.781381550531383,-0.118981426154626,0.158233370803545,NCAPH,non-SMC condensin I complex subunit H
ENSG00000121207,-0.482282441487757,0.399637792995492,-1.60455692363479,0.639992040659274,LRAT,lecithin retinol acyltransferase
ENSG00000121210,-0.0548882803762285,0.428074294327887,-0.190636218678744,0.0808596579262873,TMEM131L,transmembrane 131 like
ENSG00000121211,0.0392164068103846,0.574118045894033,-0.0975507672123826,0.175983580833152,MND1,meiotic nuclear divisions 1
ENSG00000121236,-0.285076773450079,0.51284954211056,-1.13888808338271,0.568734536482553,TRIM6,tripartite motif containing 6
ENSG00000121270,0.386935596976177,0.247017720150252,-0.268182274104431,1.04205346805678,ABCC11,ATP binding cassette subfamily C member 11
ENSG00000121274,0.0542841814723213,0.308245815891578,-0.0501362943625206,0.158704657307163,TENT4B,terminal nucleotidyltransferase 4B
ENSG00000121281,0.342580700480469,0.538437049065772,-0.748884902323445,1.43404630328438,ADCY7,adenylate cyclase 7
ENSG00000121289,0.0496936063465967,0.133869878166365,-0.0152808689723458,0.114668081665539,CEP89,centrosomal protein 89
ENSG00000121297,-0.119008872796851,0.366167946223212,-0.377125115390584,0.139107369796882,TSHZ3,teashirt zinc finger homeobox 3
ENSG00000121310,0.0946449285043473,0.781408084568617,-0.573863159655838,0.763153016664532,ECHDC2,enoyl-CoA hydratase domain containing 2
ENSG00000121316,-0.00700719434081099,0.941178722768849,-0.193131848873427,0.179117460191805,PLBD1,phospholipase B domain containing 1
ENSG00000121318,,,,,TAS2R10,taste 2 receptor member 10
ENSG00000121350,0.0441310735966442,0.394390457746827,-0.0574271210354843,0.145689268228773,PYROXD1,pyridine nucleotide-disulphide oxidoreductase domain 1
ENSG00000121351,-0.12157919598906,0.67480010176544,-0.689520729582336,0.446362337604217,IAPP,islet amyloid polypeptide
ENSG00000121361,-0.290484579957594,0.0377116630871305,-0.564472148897519,-0.0164970110176695,KCNJ8,potassium inwardly rectifying channel subfamily J member 8
ENSG00000121380,0.0134250674956225,0.895516376092458,-0.186934215027679,0.213784350018924,BCL2L14,BCL2 like 14
ENSG00000121390,-0.0807102244049363,0.601304230383561,-0.383449549535089,0.222029100725216,PSPC1,paraspeckle component 1
ENSG00000121406,-0.0136627436071991,0.85675636565904,-0.162016141260184,0.134690654045786,ZNF549,zinc finger protein 549
ENSG00000121410,0.0248047824142687,0.820070701307046,-0.188937209599831,0.238546774428368,A1BG,alpha-1-B glycoprotein
ENSG00000121413,-0.00366463440461804,0.937165207014522,-0.0947752477907845,0.0874459789815484,ZSCAN18,zinc finger and SCAN domain containing 18
ENSG00000121417,-0.0593635094969074,0.251506672718365,-0.16082910328357,0.0421020842897555,ZNF211,zinc finger protein 211
ENSG00000121440,-0.327478796046664,0.0022019008765386,-0.537126023815578,-0.117831568277751,PDZRN3,PDZ domain containing ring finger 3
ENSG00000121446,,,,,RGSL1,regulator of G protein signaling like 1
ENSG00000121454,-0.180225102788758,0.337113247711006,-0.548222124570996,0.187771918993481,LHX4,LIM homeobox 4
ENSG00000121481,0.0157534580894982,0.694998778127472,-0.0629962248756467,0.0945031410546431,RNF2,ring finger protein 2
ENSG00000121486,0.00138705038704995,0.991831532908998,-0.264154349278926,0.266928450053026,TRMT1L,tRNA methyltransferase 1 like
ENSG00000121542,-0.0420007708544846,0.662519067107781,-0.230618678873083,0.146617137164114,SEC22A,"SEC22 homolog A, vesicle trafficking protein"
ENSG00000121570,-0.303168511771295,0.0209127403600283,-0.560447109482044,-0.0458899140605468,DPPA4,developmental pluripotency associated 4
ENSG00000121577,0.098231637352589,0.24169318575567,-0.066216774689488,0.262680049394666,POPDC2,popeye domain containing 2
ENSG00000121578,-0.0988240580336893,0.10753194354236,-0.219175286978426,0.0215271709110475,B4GALT4,"beta-1,4-galactosyltransferase 4"
ENSG00000121579,0.0270722648290571,0.469843398958802,-0.0463443354124465,0.100488865070561,NAA50,"N-alpha-acetyltransferase 50, NatE catalytic subunit"
ENSG00000121594,,,,,CD80,CD80 molecule
ENSG00000121621,0.0378224538000695,0.586708365454691,-0.0985443308502707,0.17418923845041,KIF18A,kinesin family member 18A
ENSG00000121644,0.0660711068434304,0.0928602117572287,-0.0109875330344401,0.143129746721301,DESI2,desumoylating isopeptidase 2
ENSG00000121653,-0.0935960698671307,0.0675986473810982,-0.193966830500769,0.00677469076650782,MAPK8IP1,mitogen-activated protein kinase 8 interacting protein 1
ENSG00000121671,0.00871220624832642,0.822471474870956,-0.0673933882508587,0.0848178007475115,CRY2,cryptochrome circadian regulator 2
ENSG00000121680,-0.0595537984689303,0.147064750605894,-0.140053866713248,0.0209462697753878,PEX16,peroxisomal biogenesis factor 16
ENSG00000121690,-0.126185216760467,0.459039047417063,-0.460205231724146,0.207834798203211,DEPDC7,DEP domain containing 7
ENSG00000121691,0.146720229187375,0.119583549967939,-0.038028847990791,0.331469306365541,CAT,catalase
ENSG00000121716,0.00693101041215155,0.94216833823918,-0.180326064490795,0.194188085315098,PILRB,paired immunoglobin like type 2 receptor beta
ENSG00000121741,-0.0315834144441439,0.373132438564262,-0.101088111805563,0.0379212829172749,ZMYM2,zinc finger MYM-type containing 2
ENSG00000121742,,,,,GJB6,gap junction protein beta 6
ENSG00000121743,,,,,GJA3,gap junction protein alpha 3
ENSG00000121749,0.0355795027519349,0.464615056244308,-0.0597815400016747,0.130940545505544,TBC1D15,TBC1 domain family member 15
ENSG00000121753,0.00835710274270052,0.898824284758162,-0.120467471693261,0.137181677178662,ADGRB2,adhesion G protein-coupled receptor B2
ENSG00000121764,0.124761145452122,0.338692838133899,-0.130819768765458,0.380342059669701,HCRTR1,hypocretin receptor 1
ENSG00000121766,0.0155600999770688,0.668401441608115,-0.0556380705438548,0.0867582704979924,ZCCHC17,zinc finger CCHC-type containing 17
