Gene_ID,randomSummary,randomP,randomCi.lb,randomCi.ub,Gene_Symbol,Gene_Description
ENSG00000053438,-1.06358518350829,0.00908939156517016,-1.86268428029901,-0.264486086717578,NNAT,neuronatin
ENSG00000125462,1.20359268256797,3.58368187044721e-10,0.827426499567051,1.57975886556889,,
ENSG00000137310,-1.39747668973157,0.0209392632968486,-2.58366623999566,-0.21128713946747,TCF19,transcription factor 19
ENSG00000165092,-1.08258965605744,8.94164769843298e-05,-1.62419925359785,-0.540980058517043,ALDH1A1,aldehyde dehydrogenase 1 family member A1
ENSG00000168497,-1.15026914627626,0.00241151953797046,-1.89328712658649,-0.407251165966026,CAVIN2,caveolae associated protein 2
ENSG00000185404,-1.41874822972395,0.00765317860939729,-2.46137888453524,-0.376117574912663,SP140L,SP140 nuclear body protein like
ENSG00000187627,-1.0537276509528,0.000102042280692094,-1.58523468677312,-0.522220615132481,RGPD1,RANBP2 like and GRIP domain containing 1
ENSG00000203623,1.51557578785373,4.4245986464509e-05,0.788251194493544,2.24290038121392,C6orf47,chromosome 6 open reading frame 47
ENSG00000204310,-1.12190264043932,0.0112026522047169,-1.98886530556793,-0.254939975310698,AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1
ENSG00000204435,-1.24762786359862,0.00332644018637365,-2.08054255131677,-0.414713175880465,CSNK2B,casein kinase 2 beta
ENSG00000204469,-1.10025685102234,7.28603432010151e-06,-1.58105694575727,-0.619456756287411,PRRC2A,proline rich coiled-coil 2A
ENSG00000204623,-1.01857270726801,0.000286680323589388,-1.56898339225499,-0.468162022281026,,
ENSG00000206287,2.49632366681343,0.0304601012802093,0.235427489550323,4.75721984407654,RING1,ring finger protein 1
ENSG00000206450,1.24668487412892,0.0474072013256396,0.0142612166254352,2.4791085316324,HLA-B,"major histocompatibility complex, class I, B"
ENSG00000206501,1.68479789668057,0.000257262315136912,0.7813189381636,2.58827685519754,PPP1R11,protein phosphatase 1 regulatory inhibitor subunit 11
ENSG00000206505,1.77940242883498,1.93286606076708e-07,1.10944881844051,2.44935603922945,HLA-A,"major histocompatibility complex, class I, A"
ENSG00000213722,-1.5493013264053,0.000106468096641408,-2.33286116240581,-0.765741490404783,DDAH2,"DDAH family member 2, ADMA-independent"
ENSG00000224320,-1.37764833494379,3.65005632515171e-05,-2.03165991694767,-0.723636752939904,HLA-A,"major histocompatibility complex, class I, A"
ENSG00000225748,1.67433471539948,3.69223106744669e-09,1.11788219398549,2.23078723681348,PRRC2A,proline rich coiled-coil 2A
ENSG00000226103,1.51522005844088,4.44115270698285e-05,0.787911717080877,2.24252839980088,C6orf47,chromosome 6 open reading frame 47
ENSG00000226531,1.51544201613375,4.42427072397339e-05,0.788184684896551,2.24269934737095,C6orf47,chromosome 6 open reading frame 47
ENSG00000227739,2.54764671991266,0.000775789459008442,1.06211770799417,4.03317573183115,TUBB,tubulin beta class I
ENSG00000227780,-1.03872531814304,0.0458518351657596,-2.05831184938566,-0.0191387869004176,ZBTB22,zinc finger and BTB domain containing 22
ENSG00000227801,-1.45526420494666,0.00303263415384312,-2.41743371606352,-0.493094693829808,COL11A2,collagen type XI alpha 2 chain
ENSG00000228875,-1.2880128679616,0.00349285585072638,-2.15235682440148,-0.423668911521727,CSNK2B,casein kinase 2 beta
ENSG00000229215,-1.37739117849874,3.66172550271543e-05,-2.03139696992709,-0.723385387070387,HLA-A,"major histocompatibility complex, class I, A"
ENSG00000229253,-1.03880578735232,0.0458320663452336,-2.05837841160989,-0.0192331630947382,ZBTB22,zinc finger and BTB domain containing 22
ENSG00000230456,3.12289145699741,7.07226336086301e-17,2.38949962360322,3.85628329039161,DDR1,discoidin domain receptor tyrosine kinase 1
ENSG00000230685,-1.0857902617747,1.32779218803541e-07,-1.48922584430402,-0.682354679245385,CLIC1,chloride intracellular channel 1
ENSG00000230985,1.45011736054787,0.00321074742273938,0.485622934494356,2.41461178660139,VARS2,"valyl-tRNA synthetase 2, mitochondrial"
ENSG00000231002,1.40958728063493,0.0445282976432649,0.0344624824766313,2.78471207879324,TRIM26,tripartite motif containing 26
ENSG00000232569,-2.76444326298921,0.0314633521693732,-5.2831783558761,-0.245708170102324,GABBR1,gamma-aminobutyric acid type B receptor subunit 1
ENSG00000232938,-1.0758510783764,0.000159698792384801,-1.63435713707917,-0.517345019673629,,
ENSG00000232960,-1.25524433703252,0.00548802727225609,-2.1412088313753,-0.369279842689738,CSNK2B,casein kinase 2 beta
ENSG00000235107,2.49654049342636,0.0307287129677744,0.231798497485114,4.76128248936761,RING1,ring finger protein 1
ENSG00000235712,1.88978429247943,2.11321462241583e-10,1.30675588154435,2.47281270341451,RXRB,retinoid X receptor beta
ENSG00000275496,1.1006817454559,4.80262653563472e-06,0.628958997399555,1.57240449351224,,
ENSG00000277150,3.33424092180273,2.85619824830326e-32,2.78165728474079,3.88682455886466,F8A3,coagulation factor VIII associated 3
ENSG00000280677,1.08711048451859,3.40290129214177e-08,0.701067884804113,1.47315308423306,,
